NEO4J QUERY RESULTS
===================


--- Query 1: Find the top 3 most cited papers of each conference/workshop Results ---

Event | PaperTitle | Citations
------------------------------
AAAI Conference on Artificial Intelligence | Context-aware Health Event Prediction via Transition Functions on 
Dynamic Disease Graphs | 26
AAAI Conference on Artificial Intelligence | MiniSeg: An Extremely Minimum Network for 
Efficient COVID-19 Segmentation | 4
AAAI Conference on Artificial Intelligence | Sharp Restricted Isometry Property Bounds for 
Low-rank Matrix Recovery Problems with Corrupted Measurements | 2
ACM Asia Conference on Computer and Communications Security | Privacy-Preserving Association 
Rule Mining in Cloud Computing | 0
ACM Asia Conference on Computer and Communications Security | Privacy of outsourced k-means clustering | 0
ACM Asia Conference on Computer and Communications Security | VFCFinder: Pairing Security Advisories and Patches | 0
ACM International Conference on Embedded Networked Sensor Systems | MetaFL: Privacy-preserving User Authentication in Virtual Reality with Federated Learning | 0
ACM SIGMOBILE International Conference on Mobile Systems, Applications, and Services | EMSAssist: An End-to-End Mobile Voice Assistant at the Edge for Emergency Medical Services | 0
ACM SIGPLAN Conference on Languages, Compilers, and Tools for Embedded Systems | MaPHeA: a lightweight memory hierarchy-aware profile-guided heap allocation framework | 2
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming | Merchandiser: Data Placement on Heterogeneous Memory for Task-Parallel HPC Applications with Load-Balance Awareness | 1
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming | ShadowVM: accelerating data plane for data analytics with bare metal CPUs and GPUs | 1
ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming | Stretching the capacity of hardware transactional memory in IBM POWER architectures | 0
ACM Symposium on Cloud Computing | Monte Cimone: Paving the Road for the First Generation of RISC-V High-Performance Computers | 0
ACM-SIAM Symposium on Discrete Algorithms | Competitive Data-Structure Dynamization | 0
ACM-SIGPLAN Symposium on Programming Language Design and Implementation | Panthera: holistic memory management for big data processing over hybrid memories | 39
ACM-SIGPLAN Symposium on Programming Language Design and Implementation | Mako: a low-pause, high-throughput evacuating collector for memory-disaggregated datacenters | 6
ACM-SIGPLAN Symposium on Programming Language Design and Implementation | Improving program locality in the GC using hotness | 3
ACM/IEEE International Conference on Mobile Computing and Networking | ADMarker: A Multi-Modal Federated Learning System for Monitoring Digital Biomarkers of Alzheimer's Disease | 7
ACM/IEEE Joint Conference on Digital Libraries | Towards Use And Reuse Driven Big Data Management | 5
ACM/IEEE Joint Conference on Digital Libraries | Evaluating cost of cloud execution in a data repository | 0
ACM/IEEE Joint Conference on Digital Libraries | The Case For Alternative Web Archival Formats To Expedite The Data-To-Insight Cycle | 0
ACS/IEEE International Conference on Computer Systems and Applications | Speech Processing for Early Alzheimer Disease Diagnosis: Machine Learning Based Approach | 21
ACS/IEEE International Conference on Computer Systems and Applications | Cryptographically Enforced Access Control in Blockchain-Based Platforms | 0
ACS/IEEE International Conference on Computer Systems and Applications | Integration of UAV and Satellite Data in Remote Sensing | 0
AEIT International Annual Conference | COLLEGA semantic middleware for collaborative assistance in mobile social networks | 0
AIP Conference Proceedings | Study on federated learning model with pruning, optimal quantization and selective updating for IOT and big data analytics | 0
AIP Conference Proceedings | Study of the power density issued by telecommunications towers of different companies, (Asia-Zain-Cork) | 0
